Datetime,AEP,COMED,DAYTON,DEOK,DOM,DUQ,FE,PJME,PJMW
1/1/2013 1:00,14327,10581,1723,2775,10022,1513,6667,28386,5311
1/1/2013 2:00,14190,10175,1674,2682,9715,1448,6375,27250,5161
1/1/2013 3:00,13785,9866,1622,2625,9461,1416,6135,26252,5057
1/1/2013 4:00,13730,9631,1595,2575,9378,1368,6036,25755,4989
1/1/2013 5:00,13820,9536,1591,2581,9493,1359,6018,25820,5027
1/1/2013 6:00,13938,9583,1629,2612,9677,1386,6094,26401,5098
1/1/2013 7:00,14276,9778,1663,2669,9957,1408,6248,26955,5194
1/1/2013 8:00,14459,10059,1707,2705,10136,1426,6409,27358,5284
1/1/2013 9:00,14504,10047,1723,2728,10434,1453,6474,27956,5384
1/1/2013 10:00,14853,9984,1805,2810,10864,1506,6728,29281,5593
1/1/2013 11:00,15261,10102,1882,2933,11173,1555,7004,30536,5772
1/1/2013 12:00,15443,10227,1922,3005,11296,1610,7210,31383,5912
1/1/2013 13:00,15381,10262,1924,3041,11208,1656,7282,31865,5928
1/1/2013 14:00,15326,10263,1903,3051,11161,1666,7300,31735,5911
1/1/2013 15:00,15298,10216,1900,3054,11011,1668,7303,31612,5882
1/1/2013 16:00,15302,10173,1906,3072,10938,1685,7363,31752,5867
1/1/2013 17:00,15581,10339,1934,3142,11347,1718,7546,33338,6069
1/1/2013 18:00,16524,11208,2089,3344,12132,1819,8177,35837,6465
1/1/2013 19:00,16936,12355,2184,3467,12111,1846,8380,35902,6516
1/1/2013 20:00,16898,12429,2173,3415,12014,1860,8309,35625,6470
1/1/2013 21:00,16726,12364,2149,3385,11692,1844,8188,34950,6416
1/1/2013 22:00,16243,12229,2084,3285,11185,1800,8016,33489,6166
1/1/2013 23:00,15727,11909,2005,3099,10452,1707,7639,31285,5838
1/2/2013 0:00,15168,11381,1934,2947,9820,1647,7280,29275,5558
1/2/2013 1:00,14919,10780,1874,2834,9373,1544,7015,27854,5397
1/2/2013 2:00,14732,10391,1846,2794,9257,1491,6827,27201,5315
1/2/2013 3:00,14721,10157,1851,2774,9246,1500,6797,27027,5312
1/2/2013 4:00,14817,10051,1865,2801,9390,1507,6828,27305,5365
1/2/2013 5:00,15098,10087,1921,2886,9873,1539,6994,28250,5507
1/2/2013 6:00,16009,10331,2067,3096,10742,1616,7488,30754,5917
1/2/2013 7:00,17396,10980,2262,3431,12027,1740,8280,34704,6480
1/2/2013 8:00,18541,12081,2436,3642,12559,1876,8911,37020,6835
1/2/2013 9:00,18783,12656,2464,3654,12578,1869,9062,37191,6902
1/2/2013 10:00,18773,12811,2473,3634,12426,1871,9123,36830,6775
1/2/2013 11:00,18688,12887,2460,3608,12268,1894,9254,36505,6823
1/2/2013 12:00,18372,12930,2401,3532,12254,1885,9257,36066,6732
1/2/2013 13:00,18068,12900,2351,3470,12063,1902,9231,35563,6589
1/2/2013 14:00,17870,12808,2312,3411,11907,1875,9195,35288,6540
1/2/2013 15:00,17619,12705,2307,3345,11789,1871,9038,35054,6407
1/2/2013 16:00,17612,12583,2285,3314,11866,1868,8936,35407,6364
1/2/2013 17:00,17926,12562,2307,3353,12407,1875,9082,37243,6615
1/2/2013 18:00,19078,13237,2468,3628,13595,2017,9656,40858,7225
1/2/2013 19:00,19621,14138,2564,3795,13863,2044,9855,41194,7448
1/2/2013 20:00,19568,14039,2555,3780,13776,2054,9752,40800,7400
1/2/2013 21:00,19391,13857,2507,3733,13501,2012,9585,39963,7411
1/2/2013 22:00,18986,13574,2443,3620,12896,1982,9232,38193,7134
1/2/2013 23:00,18186,13098,2323,3421,12047,1841,8754,35424,6792
1/3/2013 0:00,17323,12287,2204,3232,11364,1749,8209,32866,6399
1/3/2013 1:00,16864,11443,2141,3122,10876,1643,7958,31112,6127
1/3/2013 2:00,16547,10882,2105,3068,10711,1620,7770,30207,6094
1/3/2013 3:00,16361,10526,2076,3046,10682,1584,7701,29879,6026
1/3/2013 4:00,16285,10267,2094,3083,10807,1599,7681,29915,6118
1/3/2013 5:00,16649,10213,2133,3152,11186,1615,7859,30773,6231
1/3/2013 6:00,17468,10399,2254,3353,12096,1726,8256,33177,6612
1/3/2013 7:00,18871,10982,2467,3671,13359,1865,8981,37071,7258
1/3/2013 8:00,19818,11955,2589,3876,13925,1936,9523,39197,7563
1/3/2013 9:00,19685,12607,2563,3814,13701,1951,9506,38824,7538
1/3/2013 10:00,19474,12789,2507,3711,13423,1942,9470,38105,7303
1/3/2013 11:00,19008,12968,2454,3617,13181,1903,9424,37457,7074
1/3/2013 12:00,18567,13112,2409,3533,12871,1892,9368,36822,6926
1/3/2013 13:00,18182,13178,2375,3449,12544,1863,9280,36138,6736
1/3/2013 14:00,17751,13179,2342,3399,12311,1823,9226,35627,6546
1/3/2013 15:00,17434,13182,2314,3355,12062,1814,9069,35100,6354
1/3/2013 16:00,17340,13069,2287,3317,11940,1831,9045,35301,6318
1/3/2013 17:00,17578,13001,2305,3358,12472,1884,9139,37013,6515
1/3/2013 18:00,18650,13570,2444,3585,13763,1991,9619,40697,7083
1/3/2013 19:00,19387,14201,2527,3736,14162,2050,9749,41168,7376
1/3/2013 20:00,19367,14044,2489,3701,14225,2022,9645,40697,7340
1/3/2013 21:00,19229,13833,2439,3651,14116,1976,9467,39898,7309
1/3/2013 22:00,18764,13521,2350,3520,13641,1936,9131,38121,7017
1/3/2013 23:00,17948,13076,2227,3322,13039,1823,8629,35219,6604
1/4/2013 0:00,17130,12279,2087,3084,12378,1699,8058,32723,6314
1/4/2013 1:00,16547,11528,1989,2926,12094,1613,7692,30803,5940
1/4/2013 2:00,16209,11019,1942,2869,11997,1563,7468,29883,5851
1/4/2013 3:00,16083,10708,1897,2837,11953,1550,7360,29470,5735
1/4/2013 4:00,16117,10598,1907,2831,12183,1532,7301,29547,5799
1/4/2013 5:00,16513,10648,1955,2887,12542,1572,7451,30242,5948
1/4/2013 6:00,17156,10915,2086,3052,13525,1651,7781,32276,6224
1/4/2013 7:00,18655,11604,2287,3340,14808,1786,8515,35910,6791
1/4/2013 8:00,19462,12587,2425,3516,15318,1904,9058,37927,7037
1/4/2013 9:00,19408,13111,2411,3493,14727,1877,9105,37642,7046
1/4/2013 10:00,19190,13173,2404,3434,13807,1911,9117,37200,6988
1/4/2013 11:00,18865,13165,2375,3410,13023,1927,9071,36894,6965
1/4/2013 12:00,18558,13127,2345,3374,12419,1959,9013,36580,6852
1/4/2013 13:00,18209,13000,2319,3325,11759,1927,8909,35851,6724
1/4/2013 14:00,17892,12777,2282,3296,11409,1916,8785,35008,6556
1/4/2013 15:00,17503,12650,2225,3248,11132,1879,8694,34270,6451
1/4/2013 16:00,17333,12490,2188,3238,11113,1859,8591,34338,6356
1/4/2013 17:00,17546,12391,2204,3271,11672,1882,8630,35803,6511
1/4/2013 18:00,18434,12977,2325,3453,12853,1984,9199,38944,7010
1/4/2013 19:00,18930,13784,2435,3602,13078,2008,9529,39040,7165
1/4/2013 20:00,18911,13693,2404,3578,12893,1976,9383,38391,7127
1/4/2013 21:00,18540,13383,2366,3535,12678,1924,9223,37591,7038
1/4/2013 22:00,18331,13151,2293,3437,12370,1869,8927,36154,6877
1/4/2013 23:00,17660,12716,2185,3295,11805,1780,8478,34102,6554
1/5/2013 0:00,16863,12061,2060,3128,11290,1655,7972,31915,6156
1/5/2013 1:00,16298,11261,1961,2980,10946,1578,7604,30094,5853
1/5/2013 2:00,16000,10728,1914,2906,10846,1545,7330,29085,5746
1/5/2013 3:00,15870,10307,1879,2863,10821,1525,7139,28471,5691
1/5/2013 4:00,15943,10126,1880,2868,10918,1517,7055,28314,5714
1/5/2013 5:00,16107,9997,1897,2889,11164,1524,7034,28528,5705
1/5/2013 6:00,16459,10081,1967,2970,11646,1539,7178,29361,5878
1/5/2013 7:00,17018,10348,2037,3090,12212,1591,7465,30702,5980
1/5/2013 8:00,17464,10821,2137,3204,12800,1639,7721,31825,6172
1/5/2013 9:00,17876,11064,2175,3289,12990,1683,7861,32751,6357
1/5/2013 10:00,17711,11161,2177,3286,12551,1726,8076,33043,6346
1/5/2013 11:00,17211,11275,2153,3216,12013,1754,8127,32874,6347
1/5/2013 12:00,16542,11369,2105,3158,11541,1721,8042,32249,6183
1/5/2013 13:00,16014,11346,2050,3112,10993,1722,7800,31462,5983
1/5/2013 14:00,15525,11257,1989,3062,10590,1688,7654,30698,5820
1/5/2013 15:00,15161,11289,1944,3040,10268,1660,7568,30345,5712
1/5/2013 16:00,15095,11446,1961,3052,10297,1669,7564,30512,5692
1/5/2013 17:00,15553,11459,2005,3069,10779,1692,7674,32111,5788
1/5/2013 18:00,16499,12013,2104,3196,11977,1802,8246,35324,6329
1/5/2013 19:00,16985,12557,2169,3301,12394,1838,8449,35899,6551
1/5/2013 20:00,16801,12525,2125,3246,12315,1780,8320,35600,6515
1/5/2013 21:00,16582,12330,2086,3239,12175,1769,8159,35136,6420
1/5/2013 22:00,16136,12175,2017,3124,11825,1715,7857,33998,6252
1/5/2013 23:00,15406,11806,1931,2991,11114,1645,7547,32193,5894
1/6/2013 0:00,14727,11183,1825,2813,10489,1567,7145,30116,5570
1/6/2013 1:00,14175,10533,1734,2680,9981,1485,6788,28416,5266
1/6/2013 2:00,13902,9985,1688,2593,9734,1440,6561,27292,5140
1/6/2013 3:00,13747,9639,1644,2549,9565,1378,6441,26664,5034
1/6/2013 4:00,13706,9348,1638,2514,9510,1370,6362,26391,5046
1/6/2013 5:00,13828,9275,1643,2522,9681,1388,6341,26529,5070
1/6/2013 6:00,13957,9300,1661,2546,9997,1412,6426,27152,5191
1/6/2013 7:00,14365,9547,1718,2615,10497,1450,6624,28216,5377
1/6/2013 8:00,14854,9837,1792,2728,11063,1493,6864,29394,5623
1/6/2013 9:00,15336,10050,1847,2809,11500,1515,7013,30352,5742
1/6/2013 10:00,15482,10192,1899,2892,11486,1555,7232,30667,5889
1/6/2013 11:00,15484,10452,1917,2949,11113,1583,7377,30321,5820
1/6/2013 12:00,15433,10641,1944,2975,10723,1596,7472,29766,5814
1/6/2013 13:00,15381,10677,1962,3028,10524,1598,7484,29438,5781
1/6/2013 14:00,15333,10624,1962,3087,10309,1615,7498,29128,5766
1/6/2013 15:00,15323,10514,1974,3120,10172,1629,7592,28959,5671
1/6/2013 16:00,15432,10450,2004,3151,10174,1652,7628,29287,5735
1/6/2013 17:00,15751,10582,2071,3230,10625,1712,7829,30982,5916
1/6/2013 18:00,16605,11293,2201,3414,11531,1796,8385,34116,6252
1/6/2013 19:00,17042,12373,2265,3521,11849,1815,8585,34615,6363
1/6/2013 20:00,17007,12421,2248,3488,11729,1799,8497,34135,6303
1/6/2013 21:00,16902,12396,2206,3431,11568,1793,8332,33541,6230
1/6/2013 22:00,16372,12109,2127,3298,11079,1727,8098,31956,6010
1/6/2013 23:00,15800,11775,2032,3106,10473,1662,7758,29800,5670
1/7/2013 0:00,15196,11164,1943,2948,9837,1580,7403,27906,5428
1/7/2013 1:00,14805,10612,1871,2845,9504,1497,7075,26436,5205
1/7/2013 2:00,14645,10244,1827,2786,9332,1462,6933,25709,5122
1/7/2013 3:00,14549,10072,1817,2776,9351,1459,6871,25488,5145
1/7/2013 4:00,14702,9992,1830,2806,9533,1431,6862,25652,5117
1/7/2013 5:00,15082,10095,1893,2899,10025,1477,6978,26590,5342
1/7/2013 6:00,16103,10442,2037,3137,11047,1554,7493,28976,5712
1/7/2013 7:00,17724,11264,2277,3484,12479,1677,8261,32986,6287
1/7/2013 8:00,18777,12518,2431,3697,13119,1794,8823,34898,6627
1/7/2013 9:00,18671,13104,2410,3669,12703,1812,8866,34660,6613
1/7/2013 10:00,18379,12949,2371,3600,12082,1845,8910,34267,6622
1/7/2013 11:00,18031,12937,2324,3513,11705,1893,8944,33996,6644
1/7/2013 12:00,17551,12901,2276,3424,11279,1877,8813,33676,6568
1/7/2013 13:00,17180,12751,2229,3337,10939,1871,8725,33245,6516
1/7/2013 14:00,16769,12619,2198,3283,10728,1883,8681,32869,6349
1/7/2013 15:00,16375,12546,2167,3207,10518,1872,8535,32410,6262
1/7/2013 16:00,16203,12365,2123,3152,10491,1827,8425,32524,6173
1/7/2013 17:00,16377,12348,2137,3159,10978,1859,8513,33864,6329
1/7/2013 18:00,17638,12972,2278,3374,12329,1953,9078,37284,6825
1/7/2013 19:00,18524,13747,2413,3576,12870,1994,9388,38050,7099
1/7/2013 20:00,18773,13626,2389,3566,13025,1966,9333,37769,7145
1/7/2013 21:00,18704,13382,2366,3529,13067,1945,9206,37206,7112
1/7/2013 22:00,18293,13046,2291,3408,12626,1880,8863,35533,6873
1/7/2013 23:00,17568,12452,2165,3251,12083,1775,8391,33197,6562
1/8/2013 0:00,16838,11632,2051,3077,11427,1647,7915,30987,6258
1/8/2013 1:00,16355,10806,1970,2949,11126,1528,7523,29509,6006
1/8/2013 2:00,16130,10318,1926,2887,11122,1503,7301,28881,5995
1/8/2013 3:00,16160,10031,1899,2862,11332,1499,7251,28709,5902
1/8/2013 4:00,16240,9887,1903,2871,11504,1492,7222,28918,6033
1/8/2013 5:00,16614,9877,1950,2949,12004,1546,7407,29846,6105
1/8/2013 6:00,17534,10135,2087,3158,12924,1622,7815,32194,6532
1/8/2013 7:00,19070,10855,2300,3472,14320,1764,8597,36107,7040
1/8/2013 8:00,19938,12113,2438,3619,14643,1869,9132,37848,7355
1/8/2013 9:00,19461,12684,2415,3577,14013,1910,9111,37003,7207
1/8/2013 10:00,19019,12613,2385,3522,12925,1878,9048,35736,6909
1/8/2013 11:00,18307,12590,2334,3446,12203,1873,8945,34651,6728
1/8/2013 12:00,17609,12568,2262,3327,11620,1840,8812,33928,6516
1/8/2013 13:00,17001,12374,2218,3237,11161,1815,8654,33216,6247
1/8/2013 14:00,16534,12264,2170,3195,10893,1764,8604,32657,6088
1/8/2013 15:00,16178,12244,2116,3085,10668,1768,8462,32183,5882
1/8/2013 16:00,15835,12117,2060,3011,10614,1763,8371,32311,5903
1/8/2013 17:00,16046,12085,2068,3090,10958,1791,8388,33577,6070
1/8/2013 18:00,17121,12636,2208,3260,12118,1898,8876,36786,6535
1/8/2013 19:00,17926,13467,2324,3456,12522,1929,9160,37332,6825
1/8/2013 20:00,18094,13313,2323,3463,12467,1924,9096,36958,6840
1/8/2013 21:00,18045,13119,2282,3403,12301,1909,8968,36083,6834
1/8/2013 22:00,17587,12837,2204,3290,11788,1832,8701,34451,6671
1/8/2013 23:00,16713,12286,2077,3076,11080,1730,8176,31943,6261
1/9/2013 0:00,15892,11419,1963,2884,10378,1623,7675,29676,5999
1/9/2013 1:00,15391,10617,1882,2749,9987,1515,7286,28289,5814
1/9/2013 2:00,15102,10080,1832,2678,9917,1498,7122,27693,5709
1/9/2013 3:00,14967,9749,1792,2613,9895,1484,7025,27505,5687
1/9/2013 4:00,14852,9564,1782,2607,10031,1516,6991,27739,5792
1/9/2013 5:00,15143,9587,1811,2652,10504,1534,7038,28709,5888
