Datetime,AEP,COMED,DAYTON,DEOK,DOM,DUQ,FE,PJME,PJMW
1/1/2018 0:00,18687,12563,2345,3817,16789,1749,8127,39928,7612
1/1/2018 1:00,18508,12263,2306,3796,16748,1704,7907,38925,7469
1/1/2018 2:00,18600,11982,2286,3780,16806,1663,7772,38298,7423
1/1/2018 3:00,18571,11747,2266,3755,16939,1633,7711,37808,7380
1/1/2018 4:00,18686,11581,2256,3751,17159,1619,7634,37742,7366
1/1/2018 5:00,18912,11565,2248,3790,17483,1623,7661,38049,7428
1/1/2018 6:00,19214,11585,2288,3844,17917,1649,7761,38821,7540
1/1/2018 7:00,19585,11773,2337,3916,18244,1675,7860,39762,7658
1/1/2018 8:00,19886,11949,2400,3994,18476,1682,8051,40154,7794
1/1/2018 9:00,19933,11940,2427,3978,18208,1698,8063,40309,7825
1/1/2018 10:00,19847,11891,2452,3950,17426,1731,8264,39884,7716
1/1/2018 11:00,19710,11979,2481,3924,16831,1743,8401,39544,7614
1/1/2018 12:00,19453,12096,2480,3917,16344,1764,8506,39270,7524
1/1/2018 13:00,19049,12155,2454,3865,16061,1784,8575,38987,7540
1/1/2018 14:00,18737,12131,2419,3824,15700,1803,8568,38726,7508
1/1/2018 15:00,18619,12064,2372,3766,15489,1811,8522,38737,7475
1/1/2018 16:00,18691,12053,2384,3776,15658,1828,8550,39337,7514
1/1/2018 17:00,19109,12183,2441,3885,16421,1858,8765,41213,7747
1/1/2018 18:00,20279,12926,2617,4200,17801,1960,9266,44147,8213
1/1/2018 19:00,20925,13809,2714,4393,18249,1968,9434,44343,8328
1/1/2018 20:00,21089,13858,2732,4426,18418,1962,9378,44284,8401
1/1/2018 21:00,20999,13758,2724,4419,18567,1940,9255,43751,8373
1/1/2018 22:00,20820,13627,2664,4355,18307,1891,9044,42402,8238
1/1/2018 23:00,20415,13336,2614,4224,17814,1820,8676,40164,7958
1/2/2018 0:00,19993,12816,2552,4100,17428,1721,8393,38608,7691
1/2/2018 1:00,19670,12315,2518,4076,17188,1664,8138,37679,7531
1/2/2018 2:00,19658,11981,2499,4044,17261,1628,8037,37160,7447
1/2/2018 3:00,19797,11805,2503,4054,17495,1602,7998,37063,7469
1/2/2018 4:00,19973,11684,2526,4066,17809,1604,8003,37401,7525
1/2/2018 5:00,20335,11728,2581,4137,18282,1632,8153,38255,7710
1/2/2018 6:00,21038,11991,2702,4330,19143,1702,8525,40408,8018
1/2/2018 7:00,22060,12559,2868,4550,20097,1804,9080,43508,8374
1/2/2018 8:00,22685,13379,2980,4768,20634,1898,9562,45012,8626
1/2/2018 9:00,22744,13854,3007,4768,20088,1937,9702,44491,8595
